Name:		Lpr-c-03.txt
Optimal value:	-1
#Vehicles:	10
Capacity:	10000
Depot Node:	1
#Nodes:		163
#Edges:		241
#Arcs:		75
#Required N:	0
#Required E:	241
#Required A:	61

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E108	71	82	23	298	321
E109	72	73	45	246	291
E110	72	83	17	89	106
E111	73	74	15	136	151
E112	73	84	17	90	107
E113	73	85	22	270	292
E114	74	75	20	340	360
E115	74	85	22	308	330
E116	75	76	42	521	563
E117	75	86	15	630	645
E118	76	87	17	121	138
E119	77	78	17	392	409
E120	77	88	13	376	389
E121	78	89	15	726	741
E122	79	80	37	444	481
E123	79	92	22	331	353
E124	80	93	18	290	308
E125	81	82	24	532	556
E126	81	95	19	420	439
E127	82	83	15	492	507
E128	83	97	19	84	103
E129	84	98	20	299	319
E130	85	86	18	180	198
E131	85	99	22	445	467
E132	85	100	27	453	480
E133	86	100	18	94	112
E134	87	88	20	248	268
E135	87	102	21	157	178
E136	88	89	16	617	633
E137	88	103	21	201	222
E138	89	104	24	379	403
E139	90	105	17	432	449
E140	91	92	37	366	403
E141	91	106	17	588	605
E142	92	93	37	154	191
E143	92	121	34	186	220
E144	93	107	19	649	668
E145	94	95	22	393	415
E146	94	108	25	451	476
E147	95	96	16	264	280
E148	95	109	17	388	405
E149	96	110	15	398	413
E150	97	98	37	228	265
E151	97	111	15	80	95
E152	98	99	20	367	387
E153	98	112	23	254	277
E154	99	100	21	476	497
E155	100	101	16	203	219
E156	100	113	26	402	428
E157	100	114	24	287	311
E158	101	102	21	313	334
E159	101	115	22	46	68
E160	102	103	17	29	46
E161	102	116	23	353	376
E162	103	104	18	321	339
E163	104	117	17	334	351
E164	105	118	18	436	454
E165	108	109	14	50	64
E166	109	110	26	183	209
E167	110	111	13	88	101
E168	110	125	20	94	114
E169	111	112	39	219	258
E170	111	126	22	266	288
E171	112	113	22	212	234
E172	112	128	13	344	357
E173	113	114	17	153	170
E174	113	128	29	36	65
E175	115	130	24	449	473
E176	116	117	36	384	420
E177	116	132	18	210	228
E178	118	119	13	395	408
E179	118	135	24	520	544
E180	119	136	20	642	662
E181	120	137	20	303	323
E182	121	122	39	314	353
E183	121	151	41	590	631
E184	122	123	19	350	369
E185	122	152	33	437	470
E186	123	124	17	465	482
E187	123	153	38	250	288
E188	124	125	21	386	407
E189	124	138	15	519	534
E190	125	126	20	202	222
E191	125	139	18	570	588
E192	126	127	17	314	331
E193	126	140	17	401	418
E194	127	128	14	234	248
E195	127	141	23	334	357
E196	128	129	24	381	405
E197	128	141	28	439	467
E198	128	142	21	778	799
E199	129	130	17	279	296
E200	129	143	18	175	193
E201	130	131	14	441	455
E202	130	144	19	675	694
E203	131	132	25	576	601
E204	132	133	16	281	297
E205	132	145	14	452	466
E206	133	134	15	385	400
E207	133	146	22	379	401
E208	134	147	18	389	407
E209	135	148	15	522	537
E210	136	137	17	543	560
E211	136	149	23	491	514
E212	137	150	21	23	44
E213	138	139	18	368	386
E214	138	154	20	381	401
E215	139	140	19	276	295
E216	139	155	21	296	317
E217	140	141	23	136	159
E218	140	156	27	147	174
E219	141	156	25	547	572
E220	141	157	13	206	219
E221	142	143	19	386	405
E222	143	144	17	602	619
E223	143	159	16	329	345
E224	144	145	37	576	613
E225	144	160	20	310	330
E226	145	161	24	271	295
E227	146	147	23	359	382
E228	146	162	18	116	134
E229	147	163	20	392	412
E230	149	150	24	378	402
E231	150	151	39	400	439
E232	152	153	17	234	251
E233	153	154	21	517	538
E234	154	155	16	477	493
E235	156	157	22	475	497
E236	157	158	20	301	321
E237	158	159	17	164	181
E238	159	160	17	551	568
E239	160	161	34	290	324
E240	161	162	21	385	406
E241	162	163	20	18	38

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	3	24	37	376	413
A16	6	18	18	339	357
A17	9	8	45	99	144
A18	9	30	37	41	78
A19	10	31	34	327	361
A20	10	32	52	36	88
A21	12	13	20	103	123
A22	13	12	20	363	383
A23	14	15	36	19	55
A24	17	18	14	95	109
A25	18	17	14	157	171
A26	24	3	37	385	422
A27	24	25	13	67	80
A28	25	16	17	215	232
A29	25	24	13	161	174
A30	29	20	19	32	51
A31	30	9	37	339	376
A32	31	10	34	288	322
A33	31	30	34	177	211
A34	40	41	22	309	331
A35	41	40	22	282	304
A36	42	56	19	146	165
A37	46	60	22	150	172
A38	50	51	39	215	254
A39	52	53	18	348	366
A40	56	42	19	317	336
A41	68	59	25	382	407
A42	70	69	38	221	259
A43	84	83	44	112	156
A44	84	85	14	51	65
A45	85	84	14	159	173
A46	91	90	40	129	169
A47	93	94	19	133	152
A48	96	82	22	53	75
A49	96	97	19	124	143
A50	97	96	19	196	215
A51	106	105	36	135	171
A52	107	122	22	38	60
A53	108	107	21	124	145
A54	108	123	17	325	342
A55	109	124	25	132	157
A56	115	102	31	348	379
A57	115	131	17	119	136
A58	117	134	21	352	373
A59	119	120	20	375	395
A60	120	106	18	86	104
A61	120	121	38	55	93
A62	121	120	38	31	69
A63	123	108	17	163	180
A64	130	114	19	79	98
A65	134	117	21	11	32
A66	135	136	24	64	88
A67	142	141	21	349	370
A68	142	158	22	334	356
A69	146	145	18	311	329
A70	148	149	15	388	403
A71	151	152	35	338	373
A72	152	151	35	312	347
A73	155	156	24	89	113
A74	156	155	24	279	303
A75	158	142	22	89	111

ARC	FROM N.	TO N.	T. COST
NrA1	8	9	45
NrA2	16	25	17
NrA3	28	47	43
NrA4	32	10	52
NrA5	47	28	43
NrA6	53	78	37
NrA7	54	63	16
NrA8	55	54	13
NrA9	63	54	16
NrA10	69	68	21
NrA11	76	77	15
NrA12	78	53	37
NrA13	114	130	19
NrA14	149	148	15
