Name:		Lpr-b-04.txt
Optimal value:	-1
#Vehicles:	11
Capacity:	10000
Depot Node:	1
#Nodes:		248
#Edges:		8
#Arcs:		574
#Required N:	0
#Required E:	8
#Required A:	493

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
A254	91	66	50	231	281
A255	91	92	37	28	65
A256	92	66	40	92	132
A257	92	91	37	201	238
A258	93	92	38	140	178
A259	93	94	40	352	392
A260	93	109	22	15	37
A261	94	95	18	248	266
A262	95	96	15	196	211
A263	96	112	23	291	314
A264	97	82	21	109	130
A265	97	96	43	27	70
A266	97	98	17	86	103
A267	97	113	12	55	67
A268	98	99	14	53	67
A269	98	132	34	387	421
A270	99	100	25	247	272
A271	100	101	17	152	169
A272	100	115	18	208	226
A273	101	102	16	49	65
A274	101	116	18	106	124
A275	102	103	18	89	107
A276	103	86	25	26	51
A277	103	118	18	210	228
A278	104	88	19	191	210
A279	104	89	26	97	123
A280	104	119	26	303	329
A281	104	120	20	100	120
A282	104	121	27	179	206
A283	105	106	22	140	162
A284	105	121	18	235	253
A285	106	105	22	129	151
A286	106	122	21	155	176
A287	107	91	18	398	416
A288	107	106	17	317	334
A289	107	108	36	170	206
A290	107	123	22	34	56
A291	108	107	36	364	400
A292	108	124	27	43	70
A293	109	108	40	157	197
A294	109	126	18	135	153
A295	110	94	17	16	33
A296	110	127	20	237	257
A297	111	95	22	256	278
A298	111	110	19	176	195
A299	111	112	15	79	94
A300	112	111	15	276	291
A301	113	112	40	112	152
A302	114	99	20	345	365
A303	114	133	18	165	183
A304	115	114	23	25	48
A305	115	134	21	274	295
A306	116	115	17	309	326
A307	116	117	14	284	298
A308	117	102	19	347	366
A309	117	116	14	350	364
A310	118	103	18	269	287
A311	118	117	24	25	49
A312	118	137	19	373	392
A313	119	87	40	216	256
A314	119	138	22	64	86
A315	120	119	16	301	317
A316	121	104	27	113	140
A317	121	120	18	289	307
A318	122	121	21	356	377
A319	123	107	22	347	369
A320	123	122	17	328	345
A321	125	126	20	137	157
A322	126	109	18	286	304
A323	126	127	38	122	160
A324	127	128	19	28	47
A325	127	146	21	106	127
A326	128	111	18	182	200
A327	128	127	19	295	314
A328	128	129	16	117	133
A329	129	130	20	363	383
A330	129	148	17	30	47
A331	130	131	18	322	340
A332	130	166	33	16	49
A333	131	132	24	102	126
A334	132	98	34	337	371
A335	132	133	19	67	86
A336	133	134	13	315	328
A337	133	150	21	50	71
A338	134	135	26	173	199
A339	134	151	19	309	328
A340	135	116	22	168	190
A341	135	136	18	166	184
A342	135	151	33	386	419
A343	136	117	17	271	288
A344	136	137	19	170	189
A345	136	153	19	252	271
A346	137	118	19	85	104
A347	137	154	18	228	246
A348	138	119	22	164	186
A349	138	139	14	95	109
A350	139	120	23	398	421
A351	139	140	20	74	94
A352	139	156	14	60	74
A353	140	121	17	351	368
A354	140	139	20	201	221
A355	140	141	39	268	307
A356	140	157	19	64	83
A357	141	142	19	338	357
A358	141	159	15	217	232
A359	142	124	27	284	311
A360	142	143	19	280	299
A361	143	124	19	161	180
A362	143	160	15	258	273
A363	144	160	29	259	288
A364	144	161	23	329	352
A365	145	126	18	297	315
A366	145	146	40	125	165
A367	145	162	18	108	126
A368	146	145	40	53	93
A369	146	163	18	225	243
A370	147	128	15	279	294
A371	147	146	17	178	195
A372	147	148	24	74	98
A373	148	147	24	202	226
A374	148	165	16	328	344
A375	149	167	20	131	151
A376	150	149	40	42	82
A377	150	168	20	246	266
A378	151	133	25	217	242
A379	151	168	26	287	313
A380	151	170	32	274	306
A381	152	135	14	52	66
A382	152	170	25	349	374
A383	153	152	18	77	95
A384	153	171	22	330	352
A385	154	137	18	338	356
A386	154	153	25	123	148
A387	154	172	21	270	291
A388	155	138	16	309	325
A389	156	155	17	394	411
A390	156	157	21	31	52
A391	157	156	21	364	385
A392	157	174	32	42	74
A393	158	157	18	331	349
A394	159	142	23	339	362
A395	159	158	18	281	299
A396	159	177	21	389	410
A397	160	143	15	117	132
A398	160	159	36	61	97
A399	160	178	20	308	328
A400	161	160	22	327	349
A401	161	179	22	134	156
A402	162	145	18	370	388
A403	162	161	17	29	46
A404	163	162	39	126	165
A405	163	164	19	134	153
A406	163	181	15	255	270
A407	164	147	20	315	335
A408	164	165	20	145	165
A409	165	164	20	212	232
A410	165	183	25	142	167
A411	166	165	17	313	330
A412	167	166	18	272	290
A413	167	184	15	219	234
A414	168	151	26	275	301
A415	168	185	23	156	179
A416	168	186	16	55	71
A417	169	151	14	344	358
A418	169	168	19	143	162
A419	170	171	14	225	239
A420	171	170	14	61	75
A421	171	189	17	310	327
A422	172	154	21	197	218
A423	172	171	26	114	140
A424	172	190	17	184	201
A425	173	155	20	366	386
A426	173	174	18	203	221
A427	173	191	21	198	219
A428	174	175	24	26	50
A429	174	192	21	107	128
A430	175	157	23	277	300
A431	175	176	18	274	292
A432	176	158	21	383	404
A433	176	177	17	376	393
A434	177	178	39	76	115
A435	178	179	16	84	100
A436	179	180	22	345	367
A437	179	198	17	276	293
A438	180	162	19	272	291
A439	180	179	22	274	296
A440	180	181	35	224	259
A441	181	182	20	318	338
A442	182	164	21	322	343
A443	182	201	16	310	326
A444	183	184	38	70	108
A445	184	167	15	389	404
A446	184	185	13	368	381
A447	185	186	18	320	338
A448	185	204	26	368	394
A449	186	206	18	210	228
A450	187	169	25	199	224
A451	187	188	25	39	64
A452	188	170	16	167	183
A453	188	189	14	215	229
A454	189	171	17	46	63
A455	189	190	23	93	116
A456	190	172	17	202	219
A457	190	210	17	292	309
A458	191	173	21	283	304
A459	191	211	13	258	271
A460	192	191	21	78	99
A461	192	212	19	320	339
A462	193	175	14	363	377
A463	193	194	17	305	322
A464	193	213	24	171	195
A465	194	176	20	323	343
A466	194	193	17	222	239
A467	195	194	22	208	230
A468	195	214	20	138	158
A469	196	195	21	280	301
A470	196	215	18	390	408
A471	197	196	14	174	188
A472	197	216	18	73	91
A473	198	197	25	106	131
A474	199	180	19	288	307
A475	199	218	23	210	233
A476	200	181	22	207	229
A477	200	199	39	139	178
A478	200	219	15	50	65
A479	201	182	16	81	97
A480	201	200	25	137	162
A481	202	201	14	151	165
A482	203	202	18	319	337
A483	204	185	26	274	300
A484	204	203	25	194	219
A485	205	224	19	60	79
A486	206	205	19	272	291
A487	207	187	19	28	47
A488	207	206	21	189	210
A489	207	226	17	193	210
A490	208	188	20	334	354
A491	208	207	18	62	80
A492	209	189	22	301	323
A493	209	208	19	295	314
A494	210	190	17	284	301
A495	210	209	21	287	308
A496	211	191	13	254	267
A497	211	212	26	274	300
A498	211	230	23	115	138
A499	212	213	14	220	234
A500	213	193	24	278	302
A501	213	214	43	146	189
A502	214	213	43	34	77
A503	214	215	15	250	265
A504	214	233	15	127	142
A505	215	234	21	56	77
A506	216	217	16	47	63
A507	217	198	23	214	237
A508	217	218	22	256	278
A509	217	236	20	89	109
A510	218	199	23	20	43
A511	218	219	33	176	209
A512	218	237	19	278	297
A513	219	220	23	39	62
A514	220	201	17	350	367
A515	220	221	14	141	155
A516	220	239	21	88	109
A517	221	202	17	152	169
A518	221	222	20	213	233
A519	221	240	24	114	138
A520	222	203	16	219	235
A521	222	221	20	85	105
A522	222	223	22	134	156
A523	223	204	18	327	345
A524	223	222	22	375	397
A525	223	224	17	195	212
A526	224	225	22	358	380
A527	225	206	21	28	49
A528	226	227	22	317	339
A529	227	208	17	230	247
A530	227	228	18	275	293
A531	228	209	18	194	212
A532	228	247	21	333	354
A533	229	210	16	356	372
A534	229	248	23	400	423
A535	230	211	23	391	414
A536	231	212	14	166	180
A537	231	232	16	396	412
A538	232	213	18	208	226
A539	232	231	16	314	330
A540	232	233	38	361	399
A541	233	232	38	399	437
A542	233	234	20	33	53
A543	234	233	20	204	224
A544	234	235	18	69	87
A545	235	216	16	283	299
A546	235	234	18	255	273
A547	235	236	24	352	376
A548	236	235	24	14	38
A549	236	237	18	100	118
A550	237	236	18	89	107
A551	237	238	40	61	101
A552	238	219	22	92	114
A553	238	237	40	72	112
A554	238	239	18	350	368
A555	239	238	18	378	396
A556	239	240	22	111	133
A557	240	239	22	269	291
A558	240	241	17	185	202
A559	241	240	17	342	359
A560	242	222	29	21	50
A561	242	223	17	355	372
A562	243	224	18	395	413
A563	243	244	23	392	415
A564	244	225	16	65	81
A565	244	243	23	127	150
A566	245	226	20	381	401
A567	245	244	17	163	180
A568	245	246	22	157	179
A569	246	227	17	305	322
A570	246	245	22	199	221
A571	246	247	17	241	258
A572	247	246	17	326	343
A573	248	229	23	282	305
A574	248	247	18	256	274

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	35
NrA2	6	23	18
NrA3	7	6	35
NrA4	9	8	21
NrA5	9	26	14
NrA6	10	9	38
NrA7	12	29	32
NrA8	13	14	19
NrA9	15	16	17
NrA10	16	15	17
NrA11	22	5	22
NrA12	22	40	19
NrA13	24	23	43
NrA14	31	32	22
NrA15	32	49	15
NrA16	33	16	15
NrA17	36	54	13
NrA18	39	38	16
NrA19	41	66	37
NrA20	42	67	43
NrA21	46	29	22
NrA22	47	46	20
NrA23	51	59	20
NrA24	53	52	15
NrA25	58	57	18
NrA26	61	76	25
NrA27	70	47	39
NrA28	71	72	17
NrA29	72	71	17
NrA30	72	73	21
NrA31	74	75	25
NrA32	75	60	16
NrA33	75	76	22
NrA34	77	78	27
NrA35	83	72	19
NrA36	84	83	37
NrA37	88	89	20
NrA38	90	106	14
NrA39	92	108	14
NrA40	96	81	18
NrA41	102	85	20
NrA42	112	129	19
NrA43	113	97	12
NrA44	121	140	17
NrA45	123	124	41
NrA46	124	125	21
NrA47	126	144	28
NrA48	131	113	23
NrA49	138	155	16
NrA50	141	123	21
NrA51	143	142	19
NrA52	144	125	20
NrA53	155	173	20
NrA54	156	174	22
NrA55	164	163	19
NrA56	168	167	38
NrA57	170	169	22
NrA58	174	191	28
NrA59	175	193	14
NrA60	177	195	18
NrA61	181	200	22
NrA62	182	183	23
NrA63	183	202	15
NrA64	186	187	21
NrA65	192	174	21
NrA66	193	192	17
NrA67	197	178	20
NrA68	198	179	17
NrA69	199	198	14
NrA70	202	222	24
NrA71	204	184	21
NrA72	205	204	13
NrA73	210	229	16
NrA74	214	195	20
NrA75	215	216	21
NrA76	225	226	19
NrA77	228	229	17
NrA78	241	242	19
NrA79	242	241	19
NrA80	244	245	17
NrA81	247	248	18
