Name:		Lpr-a-04.txt
Optimal value:	-1
#Vehicles:	11
Capacity:	10000
Depot Node:	1
#Nodes:		195
#Edges:		34
#Arcs:		617
#Required N:	0
#Required E:	34
#Required A:	469

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
A447	120	103	20	167	187
A448	120	119	20	231	251
A449	120	121	39	108	147
A450	120	137	20	113	133
A451	121	104	14	176	190
A452	121	138	19	372	391
A453	122	105	21	112	133
A454	122	123	19	345	364
A455	123	106	21	165	186
A456	123	122	19	271	290
A457	123	124	17	274	291
A458	123	139	27	284	311
A459	123	140	15	25	40
A460	124	125	21	347	368
A461	124	141	19	175	194
A462	125	124	21	119	140
A463	125	126	20	94	114
A464	126	125	20	197	217
A465	126	127	17	296	313
A466	127	126	17	289	306
A467	127	143	24	351	375
A468	128	110	19	113	132
A469	128	129	25	356	381
A470	128	144	24	48	72
A471	129	128	25	368	393
A472	129	130	18	328	346
A473	130	112	17	398	415
A474	130	129	18	122	140
A475	131	114	18	324	342
A476	131	148	17	374	391
A477	132	133	17	95	112
A478	132	149	20	68	88
A479	133	134	17	121	138
A480	133	150	20	132	152
A481	134	135	18	16	34
A482	135	118	23	102	125
A483	135	134	18	337	355
A484	135	152	15	334	349
A485	137	120	20	315	335
A486	137	136	16	173	189
A487	137	154	19	50	69
A488	138	121	19	94	113
A489	138	137	42	78	120
A490	139	138	17	271	288
A491	139	140	19	330	349
A492	140	123	15	240	255
A493	140	139	19	359	378
A494	140	158	24	104	128
A495	141	124	19	31	50
A496	141	125	30	311	341
A497	141	158	24	351	375
A498	141	159	15	96	111
A499	142	143	39	388	427
A500	142	160	22	220	242
A501	143	127	24	17	41
A502	143	142	39	239	278
A503	143	162	19	23	42
A504	144	145	19	201	220
A505	145	144	19	284	303
A506	145	164	21	250	271
A507	146	130	22	71	93
A508	146	145	20	258	278
A509	147	182	40	329	369
A510	148	131	17	259	276
A511	148	149	15	297	312
A512	149	132	20	181	201
A513	149	148	15	151	166
A514	149	150	24	75	99
A515	150	133	20	35	55
A516	150	149	24	175	199
A517	150	151	20	248	268
A518	150	167	18	89	107
A519	150	168	25	91	116
A520	151	134	16	114	130
A521	151	150	20	42	62
A522	151	168	18	264	282
A523	152	153	17	238	255
A524	152	168	24	55	79
A525	152	169	24	360	384
A526	153	152	17	330	347
A527	154	155	16	331	347
A528	155	154	16	88	104
A529	155	156	23	366	389
A530	155	172	15	338	353
A531	156	139	30	378	408
A532	156	155	23	42	65
A533	156	157	20	395	415
A534	156	172	25	284	309
A535	157	174	25	216	241
A536	158	141	24	304	328
A537	158	157	20	141	161
A538	158	159	18	196	214
A539	158	175	22	344	366
A540	159	141	15	117	132
A541	159	158	18	104	122
A542	160	142	22	169	191
A543	160	159	17	370	387
A544	160	161	16	152	168
A545	161	160	16	83	99
A546	161	177	17	134	151
A547	162	143	19	146	165
A548	162	178	18	53	71
A549	163	144	19	145	164
A550	163	164	24	328	352
A551	164	163	24	55	79
A552	164	180	22	355	377
A553	165	181	19	275	294
A554	166	167	45	351	396
A555	166	183	19	344	363
A556	167	150	18	310	328
A557	167	166	45	380	425
A558	167	184	14	202	216
A559	168	150	25	114	139
A560	168	151	18	16	34
A561	168	184	27	285	312
A562	168	185	21	186	207
A563	169	170	17	135	152
A564	170	153	21	65	86
A565	170	169	17	370	387
A566	170	171	14	273	287
A567	170	187	16	266	282
A568	171	188	14	243	257
A569	172	188	26	76	102
A570	172	189	19	376	395
A571	173	156	20	338	358
A572	173	172	21	137	158
A573	173	174	18	256	274
A574	173	190	17	243	260
A575	174	157	25	25	50
A576	174	173	18	143	161
A577	174	191	16	274	290
A578	175	192	14	322	336
A579	176	177	22	310	332
A580	177	161	17	364	381
A581	177	176	22	320	342
A582	177	178	20	148	168
A583	177	194	18	259	277
A584	178	162	18	278	296
A585	179	163	15	265	280
A586	180	164	22	199	221
A587	180	181	17	39	56
A588	181	180	17	215	232
A589	181	182	21	82	103
A590	182	181	21	326	347
A591	182	183	14	256	270
A592	183	166	19	172	191
A593	183	182	14	123	137
A594	183	184	40	199	239
A595	184	168	27	352	379
A596	184	183	40	370	410
A597	184	185	19	320	339
A598	185	168	21	368	389
A599	185	186	25	398	423
A600	186	185	25	323	348
A601	187	170	16	332	348
A602	187	188	16	100	116
A603	188	171	14	62	76
A604	188	172	26	280	306
A605	189	172	19	73	92
A606	190	173	17	384	401
A607	190	189	18	210	228
A608	191	174	16	364	380
A609	191	192	18	353	371
A610	192	191	18	212	230
A611	192	193	41	168	209
A612	193	176	22	139	161
A613	193	192	41	137	178
A614	193	194	17	353	370
A615	194	177	18	20	38
A616	194	193	17	216	233
A617	195	178	19	29	48

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	39
NrA2	4	19	21
NrA3	8	23	19
NrA4	9	10	39
NrA5	12	27	25
NrA6	18	17	33
NrA7	19	35	20
NrA8	20	5	14
NrA9	23	9	31
NrA10	23	24	23
NrA11	24	23	23
NrA12	25	24	13
NrA13	25	26	23
NrA14	27	26	21
NrA15	27	41	28
NrA16	29	30	25
NrA17	29	45	32
NrA18	32	33	22
NrA19	33	50	20
NrA20	34	3	42
NrA21	34	35	20
NrA22	36	20	22
NrA23	37	38	38
NrA24	37	61	39
NrA25	39	40	22
NrA26	40	39	22
NrA27	40	41	41
NrA28	41	26	24
NrA29	42	43	18
NrA30	42	65	34
NrA31	43	28	20
NrA32	43	52	24
NrA33	44	29	19
NrA34	45	54	21
NrA35	47	16	43
NrA36	47	46	18
NrA37	51	59	21
NrA38	54	45	21
NrA39	56	49	22
NrA40	56	57	18
NrA41	56	72	19
NrA42	59	58	16
NrA43	59	75	23
NrA44	60	76	18
NrA45	63	40	33
NrA46	66	52	22
NrA47	67	53	15
NrA48	67	68	17
NrA49	68	80	14
NrA50	69	46	40
NrA51	71	83	22
NrA52	73	57	21
NrA53	73	85	18
NrA54	74	75	19
NrA55	75	59	23
NrA56	77	76	14
NrA57	77	89	15
NrA58	78	79	20
NrA59	78	94	13
NrA60	80	79	20
NrA61	80	81	17
NrA62	81	97	23
NrA63	82	70	19
NrA64	83	71	22
NrA65	86	74	19
NrA66	86	85	17
NrA67	89	90	36
NrA68	92	104	21
NrA69	92	105	27
NrA70	94	78	13
NrA71	96	95	17
NrA72	96	107	15
NrA73	99	83	20
NrA74	99	100	42
NrA75	99	110	16
NrA76	100	101	35
NrA77	104	105	22
NrA78	105	92	27
NrA79	106	94	21
NrA80	107	125	20
NrA81	110	111	13
NrA82	112	130	17
NrA83	118	117	23
NrA84	118	119	14
NrA85	121	120	39
NrA86	121	122	21
NrA87	122	121	21
NrA88	123	105	28
NrA89	125	141	30
NrA90	126	108	15
NrA91	127	109	21
NrA92	129	111	26
NrA93	130	146	22
NrA94	133	116	15
NrA95	133	132	17
NrA96	134	133	17
NrA97	134	151	16
NrA98	136	119	19
NrA99	136	135	22
NrA100	138	156	26
NrA101	139	123	27
NrA102	139	156	30
NrA103	144	128	24
NrA104	144	163	19
NrA105	145	146	20
NrA106	146	147	24
NrA107	147	113	42
NrA108	147	146	24
NrA109	152	135	15
NrA110	153	154	22
NrA111	154	137	19
NrA112	154	153	22
NrA113	156	138	26
NrA114	157	158	20
NrA115	158	140	24
NrA116	159	160	17
NrA117	160	176	14
NrA118	163	179	15
NrA119	164	145	21
NrA120	171	170	14
NrA121	171	172	21
NrA122	172	155	15
NrA123	172	156	25
NrA124	172	171	21
NrA125	172	173	21
NrA126	174	175	20
NrA127	175	158	22
NrA128	175	174	20
NrA129	175	176	35
NrA130	176	160	14
NrA131	176	175	35
NrA132	176	193	22
NrA133	178	177	20
NrA134	178	195	19
NrA135	179	180	25
NrA136	180	179	25
NrA137	182	147	40
NrA138	184	167	14
NrA139	185	184	19
NrA140	188	187	16
NrA141	188	189	20
NrA142	189	188	20
NrA143	189	190	18
NrA144	190	191	19
NrA145	191	190	19
NrA146	192	175	14
NrA147	194	195	18
NrA148	195	194	18
