Name:		Lpr-a-05.txt
Optimal value:	-1
#Vehicles:	18
Capacity:	10000
Depot Node:	1
#Nodes:		321
#Edges:		58
#Arcs:		998
#Required N:	0
#Required E:	58
#Required A:	748

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
A257	4	20	14	40	54
A258	5	4	23	399	422
A259	5	6	16	386	402
A260	5	21	26	63	89
A261	6	5	16	58	74
A262	6	7	39	103	142
A263	7	6	39	85	124
A264	7	8	19	121	140
A265	7	23	17	66	83
A266	8	9	19	304	323
A267	8	24	18	226	244
A268	9	10	41	84	125
A269	9	24	24	51	75
A270	10	9	41	64	105
A271	10	11	33	351	384
A272	12	13	21	89	110
A273	12	42	42	131	173
A274	13	12	21	287	308
A275	13	14	22	300	322
A276	13	43	38	395	433
A277	14	15	38	270	308
A278	14	44	34	376	410
A279	15	14	38	256	294
A280	16	17	39	341	380
A281	16	46	36	248	284
A282	17	16	39	178	217
A283	17	47	42	57	99
A284	18	19	37	400	437
A285	18	28	19	271	290
A286	19	2	20	137	157
A287	19	18	37	321	358
A288	19	29	20	268	288
A289	20	4	14	39	53
A290	20	21	24	291	315
A291	20	31	22	187	209
A292	21	5	26	239	265
A293	21	20	24	191	215
A294	21	22	17	38	55
A295	22	23	34	335	369
A296	23	7	17	281	298
A297	23	22	34	30	64
A298	23	24	27	393	420
A299	23	35	23	53	76
A300	24	8	18	29	47
A301	24	9	24	176	200
A302	24	23	27	184	211
A303	24	25	16	148	164
A304	24	35	29	342	371
A305	25	26	16	179	195
A306	25	37	16	243	259
A307	26	10	34	278	312
A308	26	27	19	109	128
A309	27	10	24	203	227
A310	27	26	19	354	373
A311	28	61	45	149	194
A312	29	30	22	190	212
A313	30	31	18	320	338
A314	31	30	18	287	305
A315	31	32	18	298	316
A316	31	50	21	64	85
A317	32	31	18	254	272
A318	32	33	21	289	310
A319	32	51	22	58	80
A320	33	32	21	334	355
A321	34	68	36	295	331
A322	35	23	23	287	310
A323	35	24	29	349	378
A324	35	36	17	325	342
A325	36	35	17	199	216
A326	36	37	19	230	249
A327	36	54	19	100	119
A328	37	25	16	389	405
A329	37	55	24	192	216
A330	38	37	19	121	140
A331	38	39	22	29	51
A332	39	27	17	88	105
A333	39	38	22	43	65
A334	39	40	34	33	67
A335	39	73	37	182	219
A336	40	39	34	104	138
A337	40	41	14	185	199
A338	40	56	18	23	41
A339	41	42	25	186	211
A340	42	12	42	399	441
A341	42	41	25	142	167
A342	42	43	19	185	204
A343	42	58	19	260	279
A344	43	13	38	231	269
A345	43	42	19	54	73
A346	43	44	16	28	44
A347	44	14	34	344	378
A348	44	43	16	15	31
A349	44	45	37	351	388
A350	45	15	38	16	54
A351	45	79	38	154	192
A352	46	47	35	151	186
A353	46	80	36	318	354
A354	47	17	42	86	128
A355	47	82	35	55	90
A356	48	49	22	28	50
A357	48	63	19	62	81
A358	49	48	22	324	346
A359	49	50	21	200	221
A360	49	64	21	14	35
A361	50	49	21	48	69
A362	50	51	17	173	190
A363	51	50	17	210	227
A364	51	52	18	89	107
A365	51	66	20	185	205
A366	52	33	18	249	267
A367	52	51	18	94	112
A368	52	67	20	97	117
A369	53	54	20	174	194
A370	53	69	16	176	192
A371	54	36	19	145	164
A372	54	53	20	155	175
A373	54	55	18	280	298
A374	55	37	24	129	153
A375	55	71	15	398	413
A376	56	40	18	110	128
A377	56	57	19	371	390
A378	56	74	22	301	323
A379	57	58	13	43	56
A380	58	42	19	387	406
A381	58	57	13	167	180
A382	58	76	14	56	70
A383	59	43	21	108	129
A384	59	60	18	113	131
A385	59	77	18	47	65
A386	60	78	23	372	395
A387	61	28	45	112	157
A388	61	62	16	345	361
A389	62	61	16	106	122
A390	62	63	14	274	288
A391	62	99	39	25	64
A392	63	48	19	40	59
A393	63	62	14	350	364
A394	63	83	16	347	363
A395	64	49	21	269	290
A396	64	63	21	119	140
A397	64	65	21	373	394
A398	65	64	21	197	218
A399	65	66	19	296	315
A400	66	65	19	178	197
A401	66	67	20	351	371
A402	66	86	17	282	299
A403	67	52	20	356	376
A404	67	68	17	48	65
A405	67	87	18	350	368
A406	68	34	36	80	116
A407	69	53	16	398	414
A408	69	88	17	139	156
A409	70	54	19	28	47
A410	70	69	21	325	346
A411	70	71	16	106	122
A412	71	55	15	95	110
A413	71	72	25	68	93
A414	71	89	20	305	325
A415	72	71	25	67	92
A416	72	73	17	30	47
A417	72	90	15	322	337
A418	73	39	37	391	428
A419	73	72	17	337	354
A420	73	74	41	102	143
A421	73	91	20	334	354
A422	74	73	41	315	356
A423	76	77	17	284	301
A424	76	92	25	94	119
A425	77	78	25	78	103
A426	78	93	15	378	393
A427	79	46	54	143	197
A428	79	78	36	104	140
A429	80	46	36	359	395
A430	80	79	34	96	130
A431	80	95	22	311	333
A432	81	80	21	388	409
A433	81	82	19	351	370
A434	81	96	23	398	421
A435	82	47	35	286	321
A436	82	97	19	17	36
A437	83	63	16	23	39
A438	83	100	23	320	343
A439	84	64	20	361	381
A440	84	85	23	272	295
A441	85	65	16	250	266
A442	85	84	23	161	184
A443	85	86	18	150	168
A444	85	102	21	312	333
A445	86	66	17	319	336
A446	86	85	18	80	98
A447	87	86	19	89	108
A448	87	88	39	259	298
A449	88	69	17	80	97
A450	88	87	39	151	190
A451	88	89	38	181	219
A452	88	106	22	75	97
A453	89	88	38	91	129
A454	89	90	17	283	300
A455	89	108	19	84	103
A456	90	72	15	328	343
A457	90	89	17	279	296
A458	90	91	17	175	192
A459	91	73	20	246	266
A460	91	110	16	42	58
A461	92	93	37	238	275
A462	92	112	16	360	376
A463	93	78	15	217	232
A464	93	94	40	52	92
A465	93	113	21	349	370
A466	95	80	22	311	333
A467	95	116	21	366	387
A468	96	97	13	338	351
A469	97	82	19	378	397
A470	97	96	13	394	407
A471	98	99	24	364	388
A472	98	119	18	331	349
A473	99	62	39	304	343
A474	99	98	24	141	165
A475	99	100	18	196	214
A476	99	120	16	344	360
A477	100	83	23	117	140
A478	100	99	18	333	351
A479	100	121	19	61	80
A480	101	84	21	152	173
A481	101	136	39	44	83
A482	102	101	19	126	145
A483	102	122	17	308	325
A484	103	104	22	315	337
A485	103	123	17	145	162
A486	105	104	18	55	73
A487	105	106	20	84	104
A488	105	125	19	355	374
A489	106	105	20	50	70
A490	106	107	22	275	297
A491	107	108	21	147	168
A492	107	127	17	249	266
A493	108	89	19	310	329
A494	108	107	21	310	331
A495	108	109	13	202	215
A496	109	108	13	184	197
A497	109	110	19	186	205
A498	110	91	16	180	196
A499	110	109	19	65	84
A500	110	111	38	366	404
A501	110	129	22	203	225
A502	111	74	38	153	191
A503	111	112	45	96	141
A504	111	144	45	277	322
A505	111	145	32	370	402
A506	112	92	16	274	290
A507	112	111	45	16	61
A508	113	93	21	376	397
A509	113	112	34	338	372
A510	113	114	22	76	98
A511	114	115	16	256	272
A512	114	131	21	243	264
A513	115	114	16	100	116
A514	115	132	16	25	41
A515	116	95	21	250	271
A516	116	117	18	202	220
A517	118	117	17	148	165
A518	118	154	36	100	136
A519	119	98	18	368	386
A520	119	120	22	320	342
A521	119	133	21	368	389
A522	120	119	22	199	221
A523	120	121	15	265	280
A524	121	100	19	160	179
A525	122	102	17	82	99
A526	122	123	13	328	341
A527	122	137	25	256	281
A528	123	103	17	326	343
A529	123	122	13	309	322
A530	123	124	19	205	224
A531	123	138	22	39	61
A532	124	104	22	391	413
A533	124	123	19	368	387
A534	124	125	23	118	141
A535	125	126	14	305	319
A536	126	106	16	378	394
A537	126	127	18	323	341
A538	126	141	22	60	82
A539	127	107	17	138	155
A540	127	142	21	208	229
A541	128	143	16	280	296
A542	129	144	14	41	55
A543	130	113	18	384	402
A544	131	114	21	210	231
A545	131	132	19	189	208
A546	131	149	17	372	389
A547	132	131	19	212	231
A548	133	119	21	139	160
A549	133	134	21	353	374
A550	133	169	37	61	98
A551	134	133	21	313	334
A552	134	135	17	151	168
A553	134	170	34	319	353
A554	135	134	17	367	384
A555	135	136	26	293	319
A556	135	171	44	353	397
A557	136	137	14	276	290
A558	137	122	25	28	53
A559	137	136	14	107	121
A560	137	138	23	193	216
A561	137	155	14	189	203
A562	138	137	23	395	418
A563	138	156	22	301	323
A564	139	124	16	389	405
A565	139	140	21	75	96
A566	139	156	30	69	99
A567	139	157	18	334	352
A568	140	125	21	115	136
A569	140	139	21	146	167
A570	140	141	16	220	236
A571	140	175	34	264	298
A572	141	140	16	358	374
A573	141	176	38	250	288
A574	142	127	21	85	106
A575	142	141	23	129	152
A576	143	128	16	47	63
A577	143	144	42	214	256
A578	144	129	14	89	103
A579	144	111	45	20	65
A580	144	158	23	278	301
A581	145	111	32	108	140
A582	145	112	59	94	153
A583	146	145	20	213	233
A584	146	147	21	314	335
A585	146	160	23	336	359
A586	147	112	39	114	153
A587	147	146	21	32	53
A588	148	130	24	85	109
A589	148	149	22	327	349
A590	149	131	17	161	178
A591	149	150	21	79	100
A592	150	149	21	275	296
A593	150	151	21	294	315
A594	150	163	25	146	171
A595	151	150	21	174	195
A596	151	152	17	194	211
A597	152	153	17	144	161
A598	153	152	17	166	183
A599	153	154	20	99	119
A600	153	167	23	23	46
A601	155	137	14	121	135
A602	155	156	15	208	223
A603	155	172	21	361	382
A604	156	138	22	314	336
A605	156	155	15	204	219
A606	156	157	20	21	41
A607	156	172	22	69	91
A608	157	139	18	35	53
A609	157	156	20	352	372
A610	158	178	16	149	165
A611	159	160	23	114	137
A612	159	180	24	137	161
A613	160	146	23	170	193
A614	160	159	23	243	266
A615	160	161	17	251	268
A616	161	160	17	57	74
A617	161	182	16	269	285
A618	162	148	17	284	301
A619	162	161	41	46	87
A620	163	164	22	84	106
A621	163	184	29	355	384
A622	164	163	22	272	294
A623	164	186	20	392	412
A624	165	164	17	325	342
A625	165	166	20	20	40
A626	166	188	19	157	176
A627	167	153	23	28	51
A628	167	168	23	285	308
A629	168	154	14	372	386
A630	168	167	23	91	114
A631	168	190	19	274	293
A632	169	170	22	245	267
A633	169	191	17	85	102
A634	170	169	22	172	194
A635	170	171	17	52	69
A636	171	135	44	52	96
A637	171	192	14	71	85
A638	172	155	21	55	76
A639	172	156	22	149	171
A640	172	171	39	394	433
A641	172	173	23	129	152
A642	173	156	15	358	373
A643	173	172	23	393	416
A644	173	174	15	153	168
A645	174	173	15	329	344
A646	174	175	20	289	309
A647	174	210	37	284	321
A648	175	140	34	61	95
A649	175	174	20	191	211
A650	176	141	38	268	306
A651	176	212	32	377	409
A652	177	143	42	198	240
A653	177	178	39	204	243
A654	177	193	20	199	219
A655	178	158	16	76	92
A656	178	177	39	98	137
A657	178	194	17	31	48
A658	178	195	28	103	131
A659	179	178	19	171	190
A660	180	159	24	242	266
A661	180	179	16	367	383
A662	180	181	22	83	105
A663	180	196	13	127	140
A664	181	160	17	135	152
A665	181	180	22	371	393
A666	181	182	16	161	177
A667	182	181	16	113	129
A668	182	183	22	366	388
A669	183	182	22	356	378
A670	183	184	21	140	161
A671	184	162	22	308	330
A672	184	163	29	128	157
A673	184	185	17	213	230
A674	184	200	18	29	47
A675	185	184	17	193	210
A676	185	186	19	350	369
A677	186	185	19	162	181
A678	186	202	19	251	270
A679	187	165	17	227	244
A680	187	188	22	173	195
A681	187	203	18	350	368
A682	188	189	14	59	73
A683	188	204	24	200	224
A684	189	188	14	259	273
A685	191	169	17	231	248
A686	191	206	22	249	271
A687	192	171	14	37	51
A688	192	191	34	388	422
A689	192	207	17	350	367
A690	194	178	17	380	397
A691	194	195	16	307	323
A692	195	178	28	156	184
A693	195	179	18	222	240
A694	195	196	20	245	265
A695	195	216	27	51	78
A696	196	180	13	347	360
A697	196	195	20	223	243
A698	196	197	21	115	136
A699	196	216	22	177	199
A700	197	181	21	388	409
A701	197	198	21	71	92
A702	197	217	15	55	70
A703	198	182	18	172	190
A704	198	199	18	310	328
A705	198	218	24	363	387
A706	199	198	18	56	74
A707	199	219	19	47	66
A708	200	184	18	208	226
A709	200	199	21	386	407
A710	200	201	20	329	349
A711	201	185	20	355	375
A712	201	200	20	327	347
A713	201	202	14	241	255
A714	202	186	19	98	117
A715	202	201	14	271	285
A716	202	203	19	131	150
A717	202	222	14	225	239
A718	203	187	18	17	35
A719	203	202	19	314	333
A720	203	223	18	160	178
A721	204	188	24	234	258
A722	204	203	19	379	398
A723	204	224	14	285	299
A724	205	190	18	183	201
A725	206	207	39	155	194
A726	206	237	38	256	294
A727	207	192	17	39	56
A728	207	208	18	158	176
A729	208	209	24	331	355
A730	208	239	42	327	369
A731	209	208	24	81	105
A732	209	210	40	68	108
A733	209	240	38	149	187
A734	210	174	37	13	50
A735	210	209	40	97	137
A736	211	210	15	134	149
A737	212	176	32	390	422
A738	212	213	38	316	354
A739	212	229	20	205	225
A740	213	212	38	307	345
A741	213	244	35	215	250
A742	214	194	25	342	367
A743	214	230	16	83	99
A744	214	231	28	53	81
A745	215	195	19	219	238
A746	215	214	18	163	181
A747	215	216	19	325	344
A748	216	196	22	208	230
A749	216	215	19	354	373
A750	216	217	18	76	94
A751	216	232	17	359	376
A752	217	197	15	164	179
A753	217	216	18	109	127
A754	217	218	26	264	290
A755	217	249	40	91	131
A756	218	219	20	276	296
A757	218	250	39	261	300
A758	219	199	19	178	197
A759	219	218	20	113	133
A760	220	221	17	58	75
A761	220	253	49	115	164
A762	221	220	17	87	104
A763	221	222	20	342	362
A764	222	223	15	74	89
A765	222	233	20	289	309
A766	223	203	18	71	89
A767	223	224	25	140	165
A768	223	234	20	63	83
A769	224	204	14	47	61
A770	224	223	25	349	374
A771	224	225	16	227	243
A772	224	236	26	186	212
A773	226	205	19	393	412
A774	227	210	18	128	146
A775	227	228	19	235	254
A776	228	227	19	253	272
A777	229	228	17	385	402
A778	229	243	19	140	159
A779	230	246	23	82	105
A780	231	214	28	107	135
A781	231	248	24	379	403
A782	232	216	17	42	59
A783	232	231	22	111	133
A784	232	248	20	217	237
A785	233	222	20	309	329
A786	233	234	17	344	361
A787	235	224	24	362	386
A788	235	255	17	340	357
A789	236	224	26	119	145
A790	236	256	23	138	161
A791	236	257	29	121	150
A792	237	206	38	97	135
A793	237	238	39	215	254
A794	238	237	39	253	292
A795	238	271	43	19	62
A796	239	208	42	113	155
A797	239	238	23	268	291
A798	240	209	38	106	144
A799	240	241	34	398	432
A800	240	272	42	380	422
A801	241	242	17	68	85
A802	241	273	45	152	197
A803	242	228	15	27	42
A804	242	241	17	351	368
A805	243	229	19	174	193
A806	243	242	24	133	157
A807	244	213	35	29	64
A808	244	243	36	249	285
A809	244	245	15	215	230
A810	245	244	15	356	371
A811	245	246	23	334	357
A812	245	276	36	58	94
A813	246	230	23	354	377
A814	246	245	23	279	302
A815	246	258	14	125	139
A816	247	246	20	15	35
A817	247	259	18	273	291
A818	248	231	24	365	389
A819	248	232	20	326	346
A820	248	247	17	192	209
A821	248	260	23	378	401
A822	249	217	40	385	425
A823	249	248	19	22	41
A824	249	250	16	186	202
A825	250	218	39	94	133
A826	250	249	16	257	273
A827	250	251	43	268	311
A828	250	262	26	182	208
A829	251	252	13	61	74
A830	251	262	34	356	390
A831	252	253	18	392	410
A832	252	264	19	17	36
A833	253	252	18	54	72
A834	253	265	24	79	103
A835	253	266	32	261	293
A836	254	255	21	281	302
A837	254	266	20	62	82
A838	255	254	21	237	258
A839	255	256	16	180	196
A840	256	236	23	248	271
A841	256	255	16	108	124
A842	256	268	18	266	284
A843	257	236	29	169	198
A844	257	256	22	88	110
A845	258	246	14	248	262
A846	258	259	19	278	297
A847	258	277	24	177	201
A848	259	258	19	18	37
A849	259	278	24	122	146
A850	260	248	23	239	262
A851	260	259	22	168	190
A852	260	279	18	157	175
A853	261	250	16	65	81
A854	261	281	17	147	164
A855	262	250	26	234	260
A856	262	251	34	224	258
A857	262	281	24	228	252
A858	262	283	28	185	213
A859	263	251	24	208	232
A860	263	283	15	220	235
A861	264	252	19	294	313
A862	264	263	17	185	202
A863	264	265	19	136	155
A864	265	264	19	150	169
A865	265	266	21	129	150
A866	265	285	19	135	154
A867	266	253	32	58	90
A868	266	254	20	143	163
A869	266	265	21	263	284
A870	266	286	24	284	308
A871	266	287	23	215	238
A872	267	268	19	346	365
A873	268	267	19	150	169
A874	269	268	19	39	58
A875	270	237	32	231	263
A876	270	271	37	396	433
A877	270	304	43	101	144
A878	271	238	43	147	190
A879	271	270	37	132	169
A880	271	272	45	115	160
A881	271	290	21	30	51
A882	272	271	45	44	89
A883	272	273	34	313	347
A884	272	291	21	230	251
A885	273	274	35	193	228
A886	273	307	36	184	220
A887	274	292	24	181	205
A888	275	276	20	326	346
A889	275	293	18	243	261
A890	276	245	36	123	159
A891	276	275	20	304	324
A892	276	277	17	71	88
A893	277	258	24	172	196
A894	277	278	22	16	38
A895	278	277	22	352	374
A896	278	279	18	317	335
A897	279	278	18	16	34
A898	279	280	15	307	322
A899	279	295	15	41	56
A900	280	279	15	59	74
A901	280	281	21	135	156
A902	281	261	17	220	237
A903	281	262	24	373	397
A904	281	280	21	357	378
A905	281	282	21	290	311
A906	281	297	22	335	357
A907	282	281	21	363	384
A908	282	298	20	172	192
A909	283	262	28	379	407
A910	283	263	15	246	261
A911	283	282	21	78	99
A912	283	299	23	156	179
A913	284	264	20	49	69
A914	285	265	19	198	217
A915	285	284	14	312	326
A916	285	301	17	306	323
A917	286	266	24	83	107
A918	286	287	16	103	119
A919	287	266	23	108	131
A920	287	267	19	246	265
A921	287	286	16	393	409
A922	287	288	23	383	406
A923	287	302	28	317	345
A924	288	268	18	122	140
A925	288	289	17	195	212
A926	288	320	40	108	148
A927	289	269	15	70	85
A928	289	321	39	214	253
A929	290	271	21	86	107
A930	290	291	39	251	290
A931	290	305	14	151	165
A932	291	272	21	98	119
A933	291	290	39	239	278
A934	291	306	15	366	381
A935	292	274	24	194	218
A936	292	293	41	171	212
A937	292	308	15	85	100
A938	293	275	18	269	287
A939	293	292	41	315	356
A940	294	277	15	263	278
A941	294	295	42	277	319
A942	295	279	15	112	127
A943	295	294	42	310	352
A944	295	311	19	65	84
A945	296	280	24	109	133
A946	297	281	22	193	215
A947	297	296	22	284	306
A948	297	313	17	65	82
A949	298	282	20	119	139
A950	298	297	22	215	237
A951	298	299	15	361	376
A952	298	314	16	249	265
A953	299	298	15	375	390
A954	299	315	14	252	266
A955	300	316	17	258	275
A956	301	285	17	71	88
A957	301	302	21	62	83
A958	302	286	17	137	154
A959	302	287	28	353	381
A960	302	301	21	246	267
A961	302	303	15	235	250
A962	302	317	30	265	295
A963	303	287	23	88	111
A964	304	270	43	172	215
A965	304	305	31	243	274
A966	305	304	31	319	350
A967	305	306	37	202	239
A968	306	305	37	227	264
A969	306	307	40	368	408
A970	307	273	36	49	85
A971	307	306	40	390	430
A972	307	308	34	234	268
A973	308	292	15	173	188
A974	308	307	34	161	195
A975	309	293	24	187	211
A976	310	294	21	371	392
A977	310	311	39	238	277
A978	311	312	16	45	61
A979	312	313	21	400	421
A980	313	297	17	17	34
A981	313	312	21	319	340
A982	314	315	20	222	242
A983	315	299	14	74	88
A984	315	300	25	62	87
A985	315	314	20	85	105
A986	315	316	18	222	240
A987	316	300	17	371	388
A988	317	301	24	222	246
A989	317	316	20	21	41
A990	318	317	25	257	282
A991	318	319	14	168	182
A992	319	303	20	303	323
A993	319	318	14	391	405
A994	319	320	21	185	206
A995	320	288	40	374	414
A996	320	319	21	196	217
A997	320	321	22	400	422
A998	321	320	22	38	60

ARC	FROM N.	TO N.	T. COST
NrA1	2	3	13
NrA2	3	2	13
NrA3	3	30	39
NrA4	4	5	23
NrA5	8	7	19
NrA6	9	8	19
NrA7	11	10	33
NrA8	11	40	39
NrA9	14	13	22
NrA10	15	45	38
NrA11	18	1	23
NrA12	21	32	13
NrA13	22	6	18
NrA14	24	36	19
NrA15	26	25	16
NrA16	27	39	17
NrA17	28	18	19
NrA18	28	29	35
NrA19	29	19	20
NrA20	29	28	35
NrA21	30	3	39
NrA22	30	29	22
NrA23	30	49	18
NrA24	31	20	22
NrA25	32	21	13
NrA26	33	52	18
NrA27	35	34	18
NrA28	37	36	19
NrA29	37	38	19
NrA30	38	72	35
NrA31	41	57	20
NrA32	45	44	37
NrA33	46	16	36
NrA34	48	29	22
NrA35	49	30	18
NrA36	51	32	22
NrA37	57	41	20
NrA38	57	56	19
NrA39	57	75	20
NrA40	60	59	18
NrA41	63	64	21
NrA42	64	84	20
NrA43	66	51	20
NrA44	67	66	20
NrA45	68	69	21
NrA46	69	68	21
NrA47	69	70	21
NrA48	71	70	16
NrA49	74	56	22
NrA50	74	75	14
NrA51	74	111	38
NrA52	75	57	20
NrA53	75	76	22
NrA54	76	75	22
NrA55	77	59	18
NrA56	77	76	17
NrA57	78	60	23
NrA58	80	81	21
NrA59	82	81	19
NrA60	84	83	19
NrA61	84	101	21
NrA62	86	87	19
NrA63	86	103	22
NrA64	87	67	18
NrA65	92	76	25
NrA66	93	92	37
NrA67	94	93	40
NrA68	96	95	25
NrA69	96	117	14
NrA70	101	102	19
NrA71	102	85	21
NrA72	104	103	22
NrA73	104	105	18
NrA74	106	88	22
NrA75	106	126	16
NrA76	107	106	22
NrA77	111	110	38
NrA78	112	113	34
NrA79	112	145	59
NrA80	113	130	18
NrA81	116	152	37
NrA82	117	96	14
NrA83	117	116	18
NrA84	117	118	17
NrA85	120	99	16
NrA86	120	134	18
NrA87	121	120	15
NrA88	121	135	13
NrA89	124	139	16
NrA90	125	105	19
NrA91	125	124	23
NrA92	125	140	21
NrA93	127	126	18
NrA94	128	127	24
NrA95	129	110	22
NrA96	129	128	33
NrA97	130	131	21
NrA98	131	130	21
NrA99	134	120	18
NrA100	135	121	13
NrA101	136	101	39
NrA102	138	123	22
NrA103	141	126	22
NrA104	143	177	42
NrA105	145	146	20
NrA106	147	148	36
NrA107	148	147	36
NrA108	148	162	17
NrA109	149	148	22
NrA110	151	165	24
NrA111	152	116	37
NrA112	152	151	17
NrA113	152	166	16
NrA114	154	118	36
NrA115	154	153	20
NrA116	154	168	14
NrA117	156	139	30
NrA118	156	173	15
NrA119	157	174	24
NrA120	158	144	23
NrA121	161	162	41
NrA122	162	184	22
NrA123	163	150	25
NrA124	163	162	17
NrA125	164	165	17
NrA126	165	151	24
NrA127	165	187	17
NrA128	166	152	16
NrA129	166	165	20
NrA130	166	167	20
NrA131	167	166	20
NrA132	169	133	37
NrA133	170	134	34
NrA134	171	170	17
NrA135	171	172	39
NrA136	172	209	35
NrA137	174	157	24
NrA138	176	177	40
NrA139	178	179	19
NrA140	179	180	16
NrA141	179	195	18
NrA142	181	197	21
NrA143	182	161	16
NrA144	184	183	21
NrA145	185	201	20
NrA146	186	164	20
NrA147	186	187	15
NrA148	187	186	15
NrA149	188	166	19
NrA150	188	187	22
NrA151	190	168	19
NrA152	190	205	18
NrA153	193	177	20
NrA154	193	194	40
NrA155	194	193	40
NrA156	194	214	25
NrA157	195	194	16
NrA158	197	196	21
NrA159	199	200	21
NrA160	203	204	19
NrA161	204	205	37
NrA162	205	204	37
NrA163	205	226	19
NrA164	206	191	22
NrA165	207	206	39
NrA166	208	207	18
NrA167	210	211	15
NrA168	210	227	18
NrA169	214	215	18
NrA170	216	195	27
NrA171	218	198	24
NrA172	218	217	26
NrA173	220	251	38
NrA174	222	202	14
NrA175	222	221	20
NrA176	223	222	15
NrA177	224	235	24
NrA178	225	226	17
NrA179	225	236	22
NrA180	226	225	17
NrA181	226	257	38
NrA182	228	211	19
NrA183	229	212	20
NrA184	230	214	16
NrA185	231	232	22
NrA186	233	253	21
NrA187	234	223	20
NrA188	234	233	17
NrA189	234	235	18
NrA190	235	234	18
NrA191	237	270	32
NrA192	238	207	39
NrA193	238	239	23
NrA194	241	240	34
NrA195	243	244	36
NrA196	246	247	20
NrA197	247	248	17
NrA198	248	249	19
NrA199	250	261	16
NrA200	251	220	38
NrA201	251	250	43
NrA202	253	254	24
NrA203	255	235	17
NrA204	255	267	19
NrA205	257	226	38
NrA206	259	247	18
NrA207	265	253	24
NrA208	267	255	19
NrA209	267	287	19
NrA210	268	256	18
NrA211	268	269	19
NrA212	268	288	18
NrA213	269	289	15
NrA214	272	240	42
NrA215	273	241	45
NrA216	274	273	35
NrA217	277	294	15
NrA218	278	259	24
NrA219	279	260	18
NrA220	280	296	24
NrA221	282	283	21
NrA222	284	285	14
NrA223	284	300	18
NrA224	285	300	26
NrA225	286	302	17
NrA226	287	303	23
NrA227	289	288	17
NrA228	293	309	24
NrA229	294	310	21
NrA230	296	297	22
NrA231	297	298	22
NrA232	300	285	26
NrA233	300	315	25
NrA234	301	317	24
NrA235	303	302	15
NrA236	303	319	20
NrA237	305	290	14
NrA238	306	291	15
NrA239	308	309	41
NrA240	309	308	41
NrA241	311	295	19
NrA242	311	310	39
NrA243	312	311	16
NrA244	313	314	16
NrA245	314	298	16
NrA246	314	313	16
NrA247	316	315	18
NrA248	316	317	20
NrA249	317	318	25
NrA250	321	289	39
