Name:		Lpr-a-03.txt
Optimal value:	-1
#Vehicles:	7
Capacity:	10000
Depot Node:	1
#Nodes:		146
#Edges:		33
#Arcs:		436
#Required N:	0
#Required E:	33
#Required A:	271

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
A293	71	81	25	345	370
A294	72	47	37	334	371
A295	72	48	53	397	450
A296	72	73	17	198	215
A297	72	82	17	300	317
A298	73	72	17	34	51
A299	73	83	15	332	347
A300	74	48	36	186	222
A301	74	83	26	100	126
A302	74	84	24	254	278
A303	76	49	43	278	321
A304	76	75	21	160	181
A305	76	86	13	257	270
A306	77	62	22	219	241
A307	77	78	40	139	179
A308	77	88	22	203	225
A309	78	64	22	129	151
A310	78	77	40	113	153
A311	79	80	34	158	192
A312	79	92	20	392	412
A313	80	79	34	233	267
A314	80	81	21	300	321
A315	81	80	21	98	119
A316	81	82	21	135	156
A317	81	95	17	123	140
A318	82	81	21	198	219
A319	83	73	15	304	319
A320	83	97	21	344	365
A321	84	98	14	32	46
A322	85	75	23	333	356
A323	85	84	26	45	71
A324	85	99	16	214	230
A325	86	76	13	185	198
A326	86	85	14	127	141
A327	87	60	35	13	48
A328	87	88	42	39	81
A329	88	102	19	260	279
A330	89	90	36	221	257
A331	89	103	19	284	303
A332	90	66	39	298	337
A333	90	89	36	207	243
A334	90	91	20	75	95
A335	91	90	20	64	84
A336	91	92	19	41	60
A337	91	105	18	246	264
A338	92	79	20	108	128
A339	93	107	20	396	416
A340	94	95	16	247	263
A341	95	81	17	62	79
A342	95	96	25	266	291
A343	96	95	25	216	241
A344	96	109	21	228	249
A345	98	83	28	341	369
A346	98	97	18	82	100
A347	98	99	24	40	64
A348	99	98	24	103	127
A349	99	112	18	288	306
A350	100	86	18	58	76
A351	100	113	22	121	143
A352	101	87	15	254	269
A353	102	101	35	180	215
A354	102	103	40	226	266
A355	102	115	15	184	199
A356	103	89	19	86	105
A357	103	116	19	361	380
A358	104	105	19	53	72
A359	104	117	19	180	199
A360	105	91	18	326	344
A361	105	104	19	131	150
A362	107	93	20	59	79
A363	107	106	22	201	223
A364	107	120	24	287	311
A365	108	107	16	352	368
A366	110	124	24	255	279
A367	111	110	19	178	197
A368	111	112	22	353	375
A369	111	125	16	57	73
A370	112	111	22	137	159
A371	112	113	17	400	417
A372	113	100	22	397	419
A373	113	112	17	39	56
A374	113	127	22	321	343
A375	114	101	20	59	79
A376	115	102	15	238	253
A377	115	114	37	354	391
A378	115	116	36	64	100
A379	116	103	19	191	210
A380	116	115	36	94	130
A381	117	104	19	207	226
A382	117	118	16	302	318
A383	117	138	49	35	84
A384	117	139	37	395	432
A385	118	117	16	374	390
A386	118	119	23	176	199
A387	119	106	20	391	411
A388	119	120	21	342	363
A389	119	139	53	229	282
A390	119	130	19	196	215
A391	120	107	24	142	166
A392	120	119	21	356	377
A393	121	122	26	367	393
A394	121	131	20	330	350
A395	122	95	35	354	389
A396	122	121	26	149	175
A397	122	123	13	343	356
A398	123	124	20	190	210
A399	124	110	24	320	344
A400	124	123	20	72	92
A401	125	134	24	29	53
A402	126	127	19	289	308
A403	127	113	22	333	355
A404	128	114	22	165	187
A405	128	129	35	277	312
A406	129	128	35	195	230
A407	130	119	19	287	306
A408	131	130	32	86	118
A409	131	141	25	124	149
A410	132	133	21	132	153
A411	132	142	21	199	220
A412	133	132	21	193	214
A413	134	125	24	192	216
A414	134	135	40	65	105
A415	134	145	15	232	247
A416	135	134	40	91	131
A417	135	146	21	236	257
A418	136	128	17	182	199
A419	136	137	38	79	117
A420	137	129	19	185	204
A421	137	138	40	23	63
A422	138	116	35	352	387
A423	138	117	49	186	235
A424	139	138	37	125	162
A425	140	130	19	260	279
A426	140	139	33	128	161
A427	141	131	25	192	217
A428	141	140	43	28	71
A429	142	132	21	54	75
A430	143	144	26	289	315
A431	144	143	26	16	42
A432	144	145	17	15	32
A433	145	134	15	286	301
A434	145	146	33	304	337
A435	146	135	21	375	396
A436	146	145	33	235	268

ARC	FROM N.	TO N.	T. COST
NrA1	68	2	39
NrA2	68	12	22
NrA3	2	3	24
NrA4	3	2	24
NrA5	4	3	19
NrA6	6	5	16
NrA7	8	7	37
NrA8	8	18	20
NrA9	9	8	43
NrA10	10	9	36
NrA11	10	11	35
NrA12	10	29	35
NrA13	11	10	35
NrA14	12	19	20
NrA15	13	12	38
NrA16	14	4	17
NrA17	15	16	20
NrA18	16	6	23
NrA19	16	15	20
NrA20	17	18	38
NrA21	18	17	38
NrA22	20	37	35
NrA23	21	13	14
NrA24	21	20	25
NrA25	21	31	23
NrA26	24	25	21
NrA27	25	26	44
NrA28	26	17	14
NrA29	28	47	44
NrA30	31	21	23
NrA31	33	34	37
NrA32	36	50	26
NrA33	37	20	35
NrA34	37	51	21
NrA35	39	32	22
NrA36	39	40	17
NrA37	39	63	33
NrA38	40	41	15
NrA39	40	53	23
NrA40	41	40	15
NrA41	41	54	25
NrA42	42	34	18
NrA43	42	41	25
NrA44	42	43	14
NrA45	43	42	14
NrA46	43	44	21
NrA47	44	35	17
NrA48	44	43	21
NrA49	46	27	35
NrA50	46	47	38
NrA51	47	28	44
NrA52	47	48	35
NrA53	47	72	37
NrA54	48	29	41
NrA55	48	49	41
NrA56	49	30	37
NrA57	49	48	41
NrA58	49	76	43
NrA59	50	51	18
NrA60	51	37	21
NrA61	52	62	13
NrA62	54	65	18
NrA63	55	56	22
NrA64	55	66	25
NrA65	56	55	22
NrA66	57	56	19
NrA67	58	59	18
NrA68	61	62	19
NrA69	62	61	19
NrA70	63	64	22
NrA71	65	66	20
NrA72	66	90	39
NrA73	67	66	13
NrA74	67	1	25
NrA75	1	57	21
NrA76	1	67	25
NrA77	69	1	18
NrA78	70	59	13
NrA79	71	72	25
NrA80	72	71	25
NrA81	74	75	20
NrA82	75	74	20
NrA83	75	76	21
NrA84	75	85	23
NrA85	78	89	19
NrA86	80	70	25
NrA87	81	71	25
NrA88	82	72	17
NrA89	83	74	26
NrA90	83	96	25
NrA91	83	98	28
NrA92	84	74	24
NrA93	84	85	26
NrA94	85	86	14
NrA95	86	100	18
NrA96	87	101	15
NrA97	88	77	22
NrA98	89	78	19
NrA99	92	91	19
NrA100	92	106	17
NrA101	93	94	24
NrA102	94	93	24
NrA103	95	94	16
NrA104	95	122	35
NrA105	96	97	14
NrA106	97	83	21
NrA107	97	96	14
NrA108	97	98	18
NrA109	98	84	14
NrA110	99	85	16
NrA111	101	102	35
NrA112	101	114	20
NrA113	102	88	19
NrA114	103	102	40
NrA115	105	106	19
NrA116	106	105	19
NrA117	106	107	22
NrA118	106	119	20
NrA119	107	108	16
NrA120	109	96	21
NrA121	109	123	14
NrA122	110	109	19
NrA123	110	111	19
NrA124	111	98	22
NrA125	112	99	18
NrA126	114	115	37
NrA127	114	128	22
NrA128	116	117	41
NrA129	116	138	35
NrA130	117	116	41
NrA131	119	118	23
NrA132	123	109	14
NrA133	123	122	13
NrA134	123	133	20
NrA135	124	125	22
NrA136	124	144	38
NrA137	125	111	16
NrA138	125	124	22
NrA139	125	126	16
NrA140	127	126	19
NrA141	128	136	17
NrA142	129	115	21
NrA143	129	137	19
NrA144	130	131	32
NrA145	130	140	19
NrA146	131	121	20
NrA147	131	132	19
NrA148	132	122	21
NrA149	132	131	19
NrA150	133	123	20
NrA151	133	143	23
NrA152	137	136	38
NrA153	138	137	40
NrA154	138	139	37
NrA155	139	117	37
NrA156	139	119	53
NrA157	139	140	33
NrA158	140	141	43
NrA159	141	142	18
NrA160	142	141	18
NrA161	142	143	14
NrA162	143	133	23
NrA163	143	142	14
NrA164	144	124	38
NrA165	145	144	17
